Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"skillet shirt",387,"Clothing, Shoes & Jewelry",Amazon,N/A,94,1475618,17.71,36,773.01,16,3.77,1,33,,0,0,"Jul, 2025",3,2000,4.77
"butterfinger shirt",30,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1305052,16.85,94,1661.58,14,4.52,1,0,,0,0,"Dec, 2024",1,169,8.81
"soto shirt",89,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,717808,25.97,26,615.2,6,4.26,1,0,,0,-11,"Mar, 2025",3,156,6.25
"headstart shirt",171,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,622354,15.84,6,86,3,4.95,1,26,,0,0,-,2,264,4.63
"jin shirt",400,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",9,715822,18.49,52,924.37,4,4.66,2,0,,0,0,"Jul, 2025",3,317,32.90
"sardines shirt",417,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",43,511466,17.14,157,2526.14,20,4.11,2,8,,0,0,"Jun, 2025",2,457,32.61
"queef shirt",150,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1253889,16.08,26,464.02,17,4.45,1,878,,0,-21,"Dec, 2024",2,453,11.91
"rizz shirt",376,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1402233,18.34,9,159.27,4,4.43,1,6,,0,-3,"Dec, 2024",4,1000,5.66
"smut shirt",196,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",15,1158339,17.08,16,231.95,9,4.52,2,31,,-73,-7,"Apr, 2025",2,393,2.35
"astrobot shirt",322,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,944637,21.39,35,723.2,7,4.41,1,0,,211,-14,"Jul, 2025",0,107,9.95
"oasis shirt",1757,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,264705,24.35,125,3027.29,11,4.25,2,39,2060,0,-18,"Jul, 2025",4,618,30.40
"canelo shirt",272,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",17,976297,23.71,28,546.06,10,4.97,1,225,,0,-26,"Sep, 2024",4,203,4.88
"catpuccino shirt",291,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1297941,16.98,12,203.47,3,4.82,1,4,-10,0,0,"Jun, 2025",0,528,6.41
"jkl shirt",162,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,303125,23.99,69,1644.73,10,4.90,1,0,,202,-12,"Jul, 2025",0,64,6.86
"baldwin shirt",266,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1158782,18.03,10,179.88,4,3.90,1,21,,-22,-6,"May, 2025",2,106,4.68
"waylon shirt",117,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,557324,23.72,88,1995.46,14,4.68,1,115,,227,0,"Jun, 2025",3,266,9.79
"memes shirt",128,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,166673,17.3,181,3082.65,14,4.72,1,264,,1702,-6,"Apr, 2025",5,20000,47.17
"sourdough shirt",231,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,1094191,17.15,39,470.52,7,4.68,1,16,,0,-23,"May, 2025",2,462,7.30
"tism shirt",432,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,561248,16.2,66,1152.36,13,4.76,1,443,,0,-9,"Dec, 2024",3,532,5.85
"deportation shirt",265,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1174058,16.24,35,593.36,7,4.78,1,8,,0,0,"Jun, 2025",4,390,14.10
"seavey shirt",196,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,371107,18.4,48,918.77,5,4.45,1,226,,38,-26,"Aug, 2024",1,48,14.01
"cranky shirt",178,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1022833,16.87,11,174.22,15,4.67,1,206,,0,-11,"Dec, 2024",2,472,3.08
"twisters shirt",229,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",5,1459326,23.67,15,336.3,13,4.59,1,317,,0,-12,"Aug, 2024",4,354,1.69
"jennie shirt",103,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1086568,26.32,48,1214.33,6,4.06,1,0,,-84,-6,"May, 2025",3,1000,11.85
"forsaken shirt",1300,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,1119521,18.5,22,435.01,2,3.50,1,0,,0,0,"Jul, 2025",2,293,46.30
"feral shirt",1757,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",29,711317,15.56,43,682.28,17,4.59,1,237,,-62,-16,"Mar, 2025",5,3000,3.52
"tk shirt",424,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,465844,17.08,6,103.75,2,5.00,1,16,,0,0,"Aug, 2024",3,693,5.44
"secretariat shirt",230,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",15,1494347,16.49,4,59.28,9,4.85,1,6,,0,-26,"May, 2025",1,371,0.86
"ow shirt",261,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,914112,17.03,54,1035.87,13,4.30,1,42,461,0,0,-,3,178,20.22
"pope shirt",59,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,696251,17.37,41,764.71,6,4.30,1,7,-17,0,127,"May, 2025",4,691,12.99
"neurodivergent shirt",397,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,1154431,16.89,21,387.22,8,4.64,1,20,-50,0,-20,"Apr, 2025",0,1000,4.69
"altruismo shirt",68,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,923286,16.64,4,73.8,2,4.83,1,3,,0,0,-,1,115,3.81
"dadtax shirt",155,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",3,704038,18.44,46,867.51,17,4.67,2,276,-30,0,-31,"Jun, 2025",0,114,9.89
"rbt shirt",1106,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",3,532822,16.94,110,1692.68,19,4.39,2,606,-24,0,-87,"Jul, 2025",2,1000,8.56
"slp shirt",1752,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",5,308408,15.13,82,1256.01,17,4.52,1,244,147,0,-27,"Jul, 2025",3,1000,17.30
"glizzy shirt",354,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1215099,17.56,35,721.26,3,4.94,1,42,,0,-35,"Jun, 2024",3,385,28.70
"toonces shirt",283,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1315912,15.79,9,138.12,9,3.80,1,50,58,0,-36,"Jul, 2025",2,168,6.87
"embarrassment shirt",68,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1127815,18.83,49,813.51,7,4.80,1,243,,0,-5,"Jun, 2025",4,879,2.93
"dogpool shirt",87,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1196684,22.71,8,166.49,9,4.57,1,92,,0,-10,"Aug, 2024",1,141,4.34
"helldivers shirt",193,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,909709,20.89,24,493.16,8,4.83,1,84,,157,0,"Jun, 2025",1,116,12.35
"45/47 shirt",150,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",9,1170845,18.66,20,313.55,1,4.40,1,0,,0,-34,"Jun, 2025",4,105,20.13
"45-47 shirt",209,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",7,1481130,19.38,8,162.5,8,4.98,2,37,-5,0,0,"Jun, 2025",4,1000,5.57
